class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Poor,Left,2017,0.013478057468089824,0.022465725081285776,0.022465725081285776,True,False,False
Poor,Right,2017,0.0233285939667235,0.022924530199163764,0.022924530199163767,True,True,True
Rich,Young,2017,0.012371575084942047,0.02788729599410894,0.02788729599410894,False,False,False
Rich,Old,2017,0.02105127101065512,0.022292607508814788,0.022292607508814788,True,True,False
Rich,Male,2017,-0.01610929329789738,0.024312863614034282,0.024312863614034282,True,False,False
Rich,Female,2017,0.007582803524557753,0.023441178179325874,0.023441178179325874,False,False,False
Rich,Poor,2017,-0.05534532142412546,0.02506774080065302,0.025067740800653028,True,True,True
Rich,Rich,2017,0.04631042538413139,0.02346945960144778,0.02346945960144777,True,True,True
Rich,Left,2017,-0.013358885755861038,0.022992127553620404,0.022992127553620408,False,False,False
Rich,Right,2017,-0.020036833971944636,0.023857374507440954,0.023857374507440954,True,True,False
Left,Young,2017,-0.04104832959524724,0.026650767848664013,0.02665076784866401,True,True,True
Left,Old,2017,0.022222466620586055,0.021619176822463934,0.02161917682246393,True,True,True
Left,Male,2017,0.0052543912024570665,0.023264083218069637,0.023264083218069637,False,False,False
Left,Female,2017,-0.017051099161432638,0.02273996129724773,0.02273996129724773,True,False,False
Left,Poor,2017,0.01490373998972307,0.023964745552579547,0.023964745552579544,True,False,False
Left,Rich,2017,-0.019394833046830307,0.022795183310216818,0.022795183310216814,True,True,False
Left,Left,2017,-0.09238748671690676,0.02247854970911682,0.02247854970911682,True,True,True
Left,Right,2017,0.13750418594486577,0.022628291879248072,0.022628291879248086,True,True,True
Right,Young,2017,0.028201649767003515,0.025913967166172867,0.025913967166172867,True,True,True
Right,Old,2017,-0.008126073269811115,0.021161925460314944,0.021161925460314944,False,False,False
Right,Male,2017,-0.00880534235652652,0.022843990517581864,0.022843990517581864,False,False,False
Right,Female,2017,-0.01124757926016073,0.022051461499326828,0.022051461499326824,False,False,False
Right,Poor,2017,0.014810255862049801,0.023309161197644472,0.023309161197644472,True,False,False
Right,Rich,2017,-0.016097516677588772,0.022328554187062147,0.022328554187062147,True,False,False
Right,Left,2017,0.10229708730892867,0.02149493371855346,0.02149493371855346,True,True,True
Right,Right,2017,-0.10181148141561856,0.022636040506152963,0.022636040506152963,True,True,True
Young,Young,2018,0.06800155748015062,0.03242057343245837,0.03242057343245837,True,True,True
Young,Old,2018,-0.05910675664335881,0.026054519709365745,0.026054519709365745,True,True,True
Young,Male,2018,0.012629776783402427,0.027486196535294993,0.027486196535294993,False,False,False
Young,Female,2018,0.009004026230677016,0.027554968483496152,0.027554968483496152,False,False,False
Young,Poor,2018,0.024603505164537454,0.02963450083379885,0.029634500833798854,True,True,False
Young,Rich,2018,0.022554985643994305,0.027722836431523557,0.027722836431523557,True,True,False
Young,Left,2018,-0.041315338845609006,0.027134298859198186,0.02713429885919818,True,True,True
Young,Right,2018,-0.019383953013710913,0.0272559649399076,0.0272559649399076,True,False,False
Old,Young,2018,-0.07584670711333717,0.029547296874323392,0.029547296874323392,True,True,True
Old,Old,2018,0.07256714047939673,0.02281106866865118,0.02281106866865118,True,True,True
Old,Male,2018,-0.012466610595723362,0.024530249314340766,0.02453024931434077,False,False,False
Old,Female,2018,-0.006342164848243809,0.0244936670773741,0.0244936670773741,False,False,False
Old,Poor,2018,-0.02110088343424895,0.026615977112620932,0.026615977112620932,True,True,False
Old,Rich,2018,0.004189221514954479,0.024399373762490545,0.024399373762490545,False,False,False
Old,Left,2018,0.012508993948013322,0.024074847797564015,0.02407484779756401,False,False,False
Old,Right,2018,-0.00942102286318734,0.024316985975429715,0.02431698597542972,False,False,False
Male,Young,2018,0.012666233882216318,0.02848865152331028,0.02848865152331028,False,False,False
Male,Old,2018,-0.03297533066761625,0.022528229968087433,0.022528229968087433,True,True,True
Male,Male,2018,0.040464401162580176,0.023864549041913746,0.023864549041913742,True,True,True
Male,Female,2018,-0.0020461761765852393,0.024041302633678714,0.024041302633678714,False,False,False
Male,Poor,2018,-0.003253872605035642,0.02586913723563543,0.02586913723563543,False,False,False
Male,Rich,2018,-0.002812627138577249,0.024020949733256598,0.024020949733256598,False,False,False
Male,Left,2018,-0.01845650878994312,0.023608987998003754,0.023608987998003754,True,False,False
Male,Right,2018,-0.00028615033731418867,0.02377082421583645,0.02377082421583645,False,False,False
Female,Young,2018,0.012137772989484508,0.029371915289999176,0.029371915289999183,False,False,False
Female,Old,2018,0.006829489110110107,0.023086453081091713,0.023086453081091713,False,False,False
Female,Male,2018,-0.0256177414015115,0.024658766848605695,0.024658766848605695,True,True,True
Female,Female,2018,0.0406502449613781,0.024548415804881766,0.02454841580488177,True,True,True
Female,Poor,2018,-0.012248848721272573,0.02660007197798431,0.026600071977984314,False,False,False
Female,Rich,2018,-0.015174022031209053,0.02462828739823697,0.024628287398236966,True,False,False
Female,Left,2018,0.00024345436279163152,0.02422082502287796,0.02422082502287796,False,False,False
Female,Right,2018,-0.015141263749673775,0.024385306133122113,0.024385306133122113,True,False,False
Poor,Young,2018,0.010959156846593317,0.030074617733829617,0.030074617733829617,False,False,False
Poor,Old,2018,-0.020917872053305836,0.023962812581884804,0.0239628125818848,True,True,False
Poor,Male,2018,0.0015079811001683196,0.025405238980132423,0.025405238980132423,False,False,False
Poor,Female,2018,-0.002532269131053142,0.025421785074596897,0.025421785074596897,False,False,False
Poor,Poor,2018,0.02751012481230405,0.027367743003554795,0.0273677430035548,True,True,True
Poor,Rich,2018,-0.029905309148523136,0.025579463542393023,0.02557946354239302,True,True,True
Poor,Left,2018,0.02073410774888829,0.02504390909290259,0.025043909092902588,True,True,False
Poor,Right,2018,0.005695971940027178,0.025188402131046037,0.025188402131046037,False,False,False
Rich,Young,2018,0.009087720698444808,0.030723217764202455,0.030723217764202455,False,False,False
Rich,Old,2018,0.006468811782227427,0.02384408319015116,0.02384408319015116,False,False,False
Rich,Male,2018,-0.0013636605429252417,0.02559168446352258,0.02559168446352258,False,False,False
Rich,Female,2018,-0.02437245485081508,0.025603751499562073,0.025603751499562077,True,True,False
Rich,Poor,2018,-0.04871840823003143,0.027774439029266434,0.027774439029266434,True,True,True
Rich,Rich,2018,0.028586790971326416,0.02543416007521454,0.02543416007521454,True,True,True
Rich,Left,2018,0.0021073900000868387,0.02510790836683835,0.02510790836683835,False,False,False
Rich,Right,2018,-0.007369991800815842,0.025364917759786186,0.025364917759786186,False,False,False
Left,Young,2018,-0.02645171381085075,0.029969665622287506,0.02996966562228751,True,True,False
Left,Old,2018,-0.004641225799449574,0.023507940227408278,0.023507940227408278,False,False,False
Left,Male,2018,-0.005825859124942357,0.025011261163699023,0.025011261163699023,False,False,False
Left,Female,2018,0.0029252452419091745,0.025098376109786134,0.025098376109786134,False,False,False
Left,Poor,2018,0.014463877728489779,0.02710515460654148,0.02710515460654148,False,False,False
Left,Rich,2018,-0.007972944793652398,0.025046077441354425,0.025046077441354418,False,False,False
Left,Left,2018,-0.03618737550130582,0.024798456826395053,0.024798456826395057,True,True,True
Left,Right,2018,0.06266395089816312,0.024654575277604743,0.024654575277604743,True,True,True
Right,Young,2018,-0.0037109356573327952,0.02851097498142489,0.02851097498142489,False,False,False
Right,Old,2018,0.013018881023506531,0.022513749824719854,0.022513749824719854,False,False,False
Right,Male,2018,-0.009472199473113977,0.023958284135970495,0.0239582841359705,False,False,False
Right,Female,2018,-0.02710319206124665,0.023974808368014893,0.023974808368014893,True,True,True
Right,Poor,2018,0.0032001408861498195,0.025885322495196053,0.025885322495196053,False,False,False
Right,Rich,2018,-0.02017516240044877,0.024035516114845442,0.024035516114845442,True,True,False
Right,Left,2018,0.058198307292075854,0.02344629096266318,0.02344629096266318,True,True,True
Right,Right,2018,-0.02152237090432349,0.02387098542379143,0.023870985423791433,True,True,False
Young,Young,2019,0.05409067750823654,0.037386940450456874,0.037386940450456874,True,True,True
Young,Old,2019,-0.025227233297265665,0.0313686178543069,0.0313686178543069,True,True,False
Young,Male,2019,-0.010084295440977449,0.03365060963734818,0.03365060963734818,False,False,False
Young,Female,2019,-0.009923786343113342,0.0318541013083649,0.0318541013083649,False,False,False
Young,Poor,2019,0.01523238516808895,0.03549126003610912,0.035491260036109126,False,False,False
Young,Rich,2019,-0.008706332512184748,0.032335605168675965,0.032335605168675965,False,False,False
Young,Left,2019,-0.0010068377514569418,0.03205507396478169,0.03205507396478169,False,False,False
